grupo_1,grupo_2,grupo_3,book_name
Caixa,Títulos de Renda Fixa (PF),,Caixa >> Títulos de Renda Fixa (PF)
Risco,Multimercado Terceiros,,Risco >> Multimercado Terceiros
Offshore,Risco,US Stocks,Offshore >> Risco >> US Stocks
Risco,Renda Variável Próprio,,Risco >> Renda Variável Próprio
Risco,Crédito,,Risco >> Crédito
Risco,Caixas e Provisionamentos,CPR (Provisões),Risco >> Caixas e Provisionamentos >> CPR (Provisões)
Risco,Outros,,Risco >> Outros
Risco,Renda Fixa,,Risco >> Renda Fixa
Risco,Multimercado Próprio,,Risco >> Multimercado Próprio
Risco,Renda Variável Terceiros,,Risco >> Renda Variável Terceiros
Risco,Ilíquidos,,Risco >> Ilíquidos
Risco,HYPE,,Risco >> HYPE
Caixa,NC Cash Perenne,,Caixa >> NC Cash Perenne
Risco,Caixas e Provisionamentos,,Risco >> Caixas e Provisionamentos
Offshore,Risco,Renda Variável Próprio,Offshore >> Risco >> Renda Variável Próprio
Offshore,Risco,Renda Variável de Terceiros,Offshore >> Risco >> Renda Variável de Terceiros
Offshore,Risco,Multimercado Próprio,Offshore >> Risco >> Multimercado Próprio
Caixa,,,Caixa
Risco,,,Risco
